cik,sic,sic_description,company_name,ticker
0001053352,6022,STATE COMMERCIAL BANKS,HERITAGE COMMERCE CORP,HTBK
0001053584,6022,STATE COMMERCIAL BANKS,MACATAWA BANK CORP,MCBC
0001057706,6022,STATE COMMERCIAL BANKS,FIRST BANCORP /PR/,FBP
0001058690,6022,STATE COMMERCIAL BANKS,WASHINGTON BANKING CO,WBCO
0001058867,6021,NATIONAL COMMERCIAL BANKS,GUARANTY BANCSHARES INC /TX/,GNTY
0001060219,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",SALISBURY BANCORP INC,SAL
0001060523,6021,NATIONAL COMMERCIAL BANKS,CARDINAL FINANCIAL CORP,CFNL
0001066254,6022,STATE COMMERCIAL BANKS,ECB BANCORP INC,ECBE
0001068300,6022,STATE COMMERCIAL BANKS,"MetroCorp Bancshares, Inc.",MCBI
0001068851,6022,STATE COMMERCIAL BANKS,PROSPERITY BANCSHARES INC,
0001069157,6022,STATE COMMERCIAL BANKS,EAST WEST BANCORP INC,EWBC
0001070523,6022,STATE COMMERCIAL BANKS,COMMUNITY SHORES BANK CORP,CSHB
0001071264,6022,STATE COMMERCIAL BANKS,JACKSONVILLE BANCORP INC /FL/,JAXB
0001071992,6022,STATE COMMERCIAL BANKS,CAPITAL BANK CORP,CBKN
0001072847,6022,STATE COMMERCIAL BANKS,TOWER FINANCIAL CORP,TOFC
0001075706,6022,STATE COMMERCIAL BANKS,CITIZENS HOLDING CO /MS/,CIZN
0001076394,6022,STATE COMMERCIAL BANKS,CENTRAL BANCORP INC /MA/,CEBK
0001077428,6022,STATE COMMERCIAL BANKS,TEXAS CAPITAL BANCSHARES INC/TX,TCBI
0001077771,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",UMPQUA HOLDINGS CORP,UMPQ
0001083643,6022,STATE COMMERCIAL BANKS,"FAUQUIER BANKSHARES, INC.",FBSS
0001083689,6022,STATE COMMERCIAL BANKS,SOUTHCOAST FINANCIAL CORP,SOCB
0001084717,6021,NATIONAL COMMERCIAL BANKS,PACIFIC CONTINENTAL CORP,PCBK
0001085706,6022,STATE COMMERCIAL BANKS,"METRO BANCORP, INC.",METR
0001087456,6021,NATIONAL COMMERCIAL BANKS,UNITED BANCSHARES INC/OH,UBOH
0001090009,6021,NATIONAL COMMERCIAL BANKS,SOUTHERN FIRST BANCSHARES INC,SFST
0001093672,6022,STATE COMMERCIAL BANKS,PEOPLES BANCORP OF NORTH CAROLINA INC,PEBK
0001094810,6022,STATE COMMERCIAL BANKS,MUTUALFIRST FINANCIAL INC,MFSF
0001096654,6021,NATIONAL COMMERCIAL BANKS,OHIO LEGACY CORP,OLCB
0001098146,6021,NATIONAL COMMERCIAL BANKS,PATRIOT NATIONAL BANCORP INC,PNBK
0001099305,6022,STATE COMMERCIAL BANKS,VIRGINIA COMMERCE BANCORP INC,VCBI
0001102112,6021,NATIONAL COMMERCIAL BANKS,PACWEST BANCORP,PACW
0001102266,6021,NATIONAL COMMERCIAL BANKS,CenterState Bank Corp,CSFL
0001102287,6021,NATIONAL COMMERCIAL BANKS,PREMIERWEST BANCORP,PRWT
0001107160,6021,NATIONAL COMMERCIAL BANKS,HARLEYSVILLE SAVINGS FINANCIAL CORP,HARL
0001108236,6022,STATE COMMERCIAL BANKS,AMERICAN RIVER BANKSHARES,AMRB
0001109242,6021,NATIONAL COMMERCIAL BANKS,HANMI FINANCIAL CORP,HAFC
0001109525,6021,NATIONAL COMMERCIAL BANKS,BANCORP RHODE ISLAND INC,BARI
0001109546,6021,NATIONAL COMMERCIAL BANKS,PACIFIC MERCANTILE BANCORP,PMBC
0001115055,6021,NATIONAL COMMERCIAL BANKS,PINNACLE FINANCIAL PARTNERS INC,PNFP
0001118237,6021,NATIONAL COMMERCIAL BANKS,MBT FINANCIAL CORP,MBTF
0001127160,6022,STATE COMMERCIAL BANKS,CAROLINA BANK HOLDINGS INC,CLBH
0001127371,6022,STATE COMMERCIAL BANKS,CENTRAL VALLEY COMMUNITY BANCORP,CVCY
0001128361,6021,NATIONAL COMMERCIAL BANKS,HOPE BANCORP INC,
0001130144,6022,STATE COMMERCIAL BANKS,SIERRA BANCORP,BSRR
0001132651,6021,NATIONAL COMMERCIAL BANKS,AMES NATIONAL CORP,ATLO
0001137547,6021,NATIONAL COMMERCIAL BANKS,UNITED SECURITY BANCSHARES,UBFO
0001138817,6021,NATIONAL COMMERCIAL BANKS,FIRST SECURITY GROUP INC/TN,FSGI
0001139812,6021,NATIONAL COMMERCIAL BANKS,MB FINANCIAL INC /MD,MBFI
0001141688,6021,NATIONAL COMMERCIAL BANKS,LANDMARK BANCORP INC,LARK
0001141807,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1ST CONSTITUTION BANCORP,FCCY
0001143155,6021,NATIONAL COMMERCIAL BANKS,"Xenith Bankshares, Inc.",
0001143921,6022,STATE COMMERCIAL BANKS,"VANTAGESOUTH BANCSHARES, INC.",
0001159427,6022,STATE COMMERCIAL BANKS,SOUTHERN COMMUNITY FINANCIAL CORP,SCMF
0001163370,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",NORTHRIM BANCORP INC,NRIM
0001166928,6022,STATE COMMERCIAL BANKS,WEST BANCORPORATION INC,WTBA
0001168455,6153,SHORT-TERM BUSINESS CREDIT INSTITUTIONS,PLUMAS BANCORP,PLBC
0001169770,6021,NATIONAL COMMERCIAL BANKS,"BANC OF CALIFORNIA, INC.",BANC
0001171825,6021,NATIONAL COMMERCIAL BANKS,CIT GROUP INC,CIT
0001174820,6022,STATE COMMERCIAL BANKS,CENTER FINANCIAL CORP,CLFC
0001176316,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",ACCESS NATIONAL CORP,ANCX
0001178409,6021,NATIONAL COMMERCIAL BANKS,TIDELANDS BANCSHARES INC,TDBK
0001178970,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",PROVIDENT FINANCIAL SERVICES INC,PFS
0001181001,6021,NATIONAL COMMERCIAL BANKS,ALLIANCE BANKSHARES CORP,ABVA
0001189396,6022,STATE COMMERCIAL BANKS,SOMERSET HILLS BANCORP,SOMH
0001210227,6021,NATIONAL COMMERCIAL BANKS,BNC BANCORP,BNCN
0001212545,6022,STATE COMMERCIAL BANKS,WESTERN ALLIANCE BANCORPORATION,WAL
0001222915,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",JEFFERSON BANCSHARES INC,JFBI
0001228454,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BCB BANCORP INC,BCBP
0001253317,6022,STATE COMMERCIAL BANKS,OLD LINE BANCSHARES INC,OLBK
0001260968,6022,STATE COMMERCIAL BANKS,MARLIN BUSINESS SERVICES CORP,MRLN
0001263762,6022,STATE COMMERCIAL BANKS,"SELECT BANCORP, INC.",NCBC
0001264755,6021,NATIONAL COMMERCIAL BANKS,NEWALLIANCE BANCSHARES INC,NAL
0001265131,6022,STATE COMMERCIAL BANKS,Hilltop Holdings Inc.,HTH
